R,B_crit,B_crit_over_R,rb_km,rb_altitude_km,rb_over_lunar_distance,time_ratio_at_break_even,model_validity_flag
12.684244200207244,68.80131696134195,5.424155816884843,459464.5722873434,453086.4359873434,1.1952772432032865,26.051119053424014,two_body_invalid
12.762040746019176,62.48267329724293,4.895978201349417,417267.8086673587,410889.6723673587,1.0855041848786646,22.6920501122782,two_body_invalid
12.847955970898003,56.760841525941395,4.417888857535844,379056.6362129366,372678.4999129366,0.9860994698567549,19.78850758513944,lunar_third_body_caution
12.942837122611648,51.579399245902195,3.9851694614769544,344454.2584362521,338076.12213625206,0.8960828783461292,17.278040349793667,lunar_third_body_caution
13.047619865870535,46.88725368551055,3.593548414769228,313119.4708445168,306741.3345445168,0.8145667815934361,15.106813580435285,lunar_third_body_caution
13.163337509328258,42.638137968056135,3.2391586053187824,284743.29692888394,278365.1606288839,0.7407473905538083,13.22841780294171,lunar_third_body_caution
13.291131195492067,38.79015498563133,2.918499141652272,259045.9420921706,252667.80579217058,0.6738968316653762,11.602842615592294,lunar_third_body_caution
13.432261154030328,35.30536438619121,2.62840068260569,235774.03549215072,229395.8991921507,0.6133559716237011,10.195592294495304,lunar_third_body_caution
13.588119129450808,32.149408603350075,2.3659940200016085,214698.13261756444,208319.99631756442,0.5585279204411145,8.976923654515506,lunar_third_body_caution
13.760242105704535,29.291174243497295,2.1286816044722174,195610.45398512433,189232.31768512432,0.5088721487646315,7.921189252159636,lunar_third_body_caution
13.966841639680448,26.50047009375681,1.8973845896890347,176973.75130018176,170595.61500018174,0.4603895715405353,6.936579132127713,lunar_third_body_caution
14.150007786335113,24.46190471280088,1.7287555655216056,163359.93382969665,156981.79752969663,0.42497381329265516,6.247564144885838,lunar_third_body_caution
14.312398458930872,22.917314538491077,1.6012211093934976,153044.950118015,146666.81381801498,0.39813982861086106,5.743246697727713,lunar_third_body_caution
14.456370099038693,21.71429302634478,1.5020570777852953,145011.00848806993,138632.87218806992,0.3772398763997657,5.361428174312059,lunar_third_body_caution
14.584011870724282,20.757043656278025,1.4232739139458184,138618.366721675,132240.230421675,0.3606096949055021,5.064684595931299,lunar_third_body_caution
14.697175976285864,19.98231285136114,1.3596022040970954,133444.60881063133,127066.47251063133,0.34715038712443114,4.8292246529870795,lunar_third_body_caution
14.797504533453633,19.34664166040448,1.3074259660922103,129199.50995543943,122821.37365543943,0.3361069457737758,4.639238272807717,lunar_third_body_caution
14.886453404064277,18.819177105547325,1.2641813731408544,125677.02976468453,119298.89346468453,0.3269433656729566,4.483828858255213,lunar_third_body_caution
14.965313319987104,18.377406055520574,1.2280000867724172,122726.82247921175,116348.68617921176,0.31926852882209095,4.355253296466911,lunar_third_body_caution
15.035228612858864,18.00451333181994,1.1974884982075762,120236.59404506069,113858.45774506069,0.3127903070891277,4.2478646817963295,lunar_third_body_caution
15.09721381941333,17.68768555079942,1.171586079548998,118120.77493977909,111742.63863977909,0.3072860950566574,4.157451966176873,lunar_third_body_caution
15.152168403364609,17.416987874639467,1.149471640690843,116313.01896228967,109934.88266228967,0.30258329594768385,4.080813520384861,lunar_third_body_caution
15.200889807472615,17.184599853626434,1.130499600436459,114761.10008347737,108382.96378347737,0.29854604600280277,4.015473657075704,lunar_third_body_caution
15.244085025188395,16.984283120797336,1.1141556277555225,113423.35763847397,107045.22133847397,0.29506596680144115,3.959489343098855,lunar_third_body_caution
15.282380859794834,16.811002740674667,1.100025113554221,112266.16764189898,105888.03134189898,0.29205558699765605,3.911315414274756,lunar_third_body_caution
15.316333019912502,16.660652769566028,1.0877703395392224,111262.11004213443,104883.97374213443,0.28944357451127584,3.8697086849391695,lunar_third_body_caution
15.346434183355013,16.529853968423353,1.077113665033138,110388.61782022705,104010.48152022705,0.2871712222170319,3.83365849057575,lunar_third_body_caution
15.373121146348018,16.415802407727732,1.0678249557427972,109626.96595267397,103248.82965267397,0.28518981777490626,3.8023355523557583,lunar_third_body_caution
15.396781161853735,16.31615457640581,1.0597120531160025,108961.50415310677,102583.36785310677,0.2834586476407564,3.7750537696461324,lunar_third_body_caution
15.417757558976088,16.2289390780526,1.0526134566569474,108379.06716763161,102000.93086763161,0.28194346297510825,3.751241283415455,lunar_third_body_caution
15.436354724989286,16.152487964514634,1.0463926394724545,107868.5162111383,101490.3799111383,0.2806152867095169,3.7304182870039977,lunar_third_body_caution
15.452842522283795,16.085382761769253,1.0409335847804895,107420.3785207655,101042.2422207655,0.2794494758604722,3.7121798148095206,lunar_third_body_caution
15.467460204323729,16.026411619839372,1.0361372460722023,107026.56119719111,100648.42489719111,0.27842497709987285,3.6961822497496892,lunar_third_body_caution
15.480419887439906,15.974534978874367,1.031918713770507,106680.12191804065,100301.98561804065,0.2775237302758602,3.682132641346668,lunar_third_body_caution
15.491909628837544,15.928857822575832,1.0282049278757042,106375.08364248263,99996.94734248263,0.2767301863748247,3.6697801711822295,lunar_third_body_caution
15.502096155483384,15.888607076229057,1.0249328166248637,106106.28367220213,99728.14737220213,0.27603091486004716,3.658909275622306,lunar_third_body_caution
15.511127283470978,15.853113059298742,1.0220477705828765,105869.24978930698,99491.11348930698,0.27541428144981006,3.6493340597944823,lunar_third_body_caution
15.519134062971387,15.821794161141607,1.0195023831189374,105660.09791864782,99281.96161864782,0.2748701818903429,3.6408937267250443,lunar_third_body_caution
15.526232679894573,15.79414409878015,1.017255404089912,105475.4470334945,99097.31073349451,0.2743898205866142,3.633448811162153,lunar_third_body_caution
15.532526141856348,15.769721260167755,1.0152708655466045,105312.34798840803,98934.21168840803,0.2739655254641208,3.6268780566188132,lunar_third_body_caution
15.538105772915873,15.748139742449965,1.0135173471337926,105168.22367152777,98790.08737152777,0.2735905922776477,3.621075810133117,lunar_third_body_caution
15.543052538773765,15.72906177881443,1.011967355805859,105040.81843004322,98662.68213004322,0.2732591530438169,3.6159498370684355,lunar_third_body_caution
15.54743822166063,15.712191308576848,1.0105967995863578,104928.15513035156,98550.01883035156,0.27296606433494164,3.6114194786733713,lunar_third_body_caution
